Category,Question,Answer
Program Overview,What is the purpose of the Research Security Compliance Program SOP?,"It defines the roles, responsibilities, and procedures used by the Office of Research Compliance (ORC) to promote compliance with federal research security requirements (e.g., cybersecurity/data protection, conflict of interest, foreign influence, export controls). Reference: SOP §1 (Purpose); Effective 2025-01-05; Version 4.0."
Program Overview,Who does this SOP apply to?,"It applies to personnel affiliated with Morgan State University who conduct, manage, or support federally sponsored research and related activities. Reference: SOP §2 (Scope)."
Definitions,What is Controlled Unclassified Information (CUI)?,"CUI is a U.S. federal designation for information that must be protected by law, regulation, or policy, even though it is not classified. Reference: SOP §3 (Definitions—CUI)."
Definitions,What is a Technology Control Plan (TCP)?,"A TCP is a formal compliance document that sets security protocols to manage export-controlled materials/data/technology, restrict access, and document safeguards and training requirements. Reference: SOP §7.2–7.3 (TCP required; TCP file & monitoring)."
Definitions,What is a deemed export?,"A deemed export is the release of controlled technical data/software/information to a foreign national, treated as an export to that person’s country of citizenship/permanent residency and may require a license or valid exemption/exclusion. Reference: SOP §3 (Deemed Export) and §9.6."
Definitions,What is the Fundamental Research Exclusion (FRE)?,FRE is an export control exclusion for research intended for publication and broad dissemination with no publication/access restrictions; it does not cover exporting physical items or research subject to restrictions. Reference: SOP §9.7.
Roles & Responsibilities,Who is the official export control contact?,The Research Compliance Director serves as the official export control contact and conducts export control assessments/determinations and coordinates licensing and TCPs. Reference: SOP §4 (RAM—Research Compliance Director).
Roles & Responsibilities,What are researchers required to do for research security compliance?,"Researchers must follow applicable policies, complete required training, disclose foreign affiliations/support/collaborations, identify export control risks, comply with TCP/license conditions, and report changes in scope/personnel/foreign involvement. Reference: SOP §4 (RAM—Research Personnel)."
Awards / Post-Award Briefing,What happens when ORC is notified of a new sponsored award?,"ORC reviews the award to determine the appropriate level of research security oversight, often before or during a Post-Award Briefing (PAB). If no PAB occurs, ORC contacts the PI to discuss award details and compliance requirements. Reference: SOP §6."
Awards / Post-Award Briefing,What topics are covered in the Post-Award Briefing for research security?,Cybersecurity & data management plans; financial conflict of interest; export controls; foreign collaborations/foreign influence & MFTRP involvement; foreign travel; and research security training. Reference: SOP §6.
Training,What research security training is recommended at project start?,"Faculty, students, and personnel supported by the award are encouraged to complete CITI Program Research Security training at the outset; ORC staff can assist with setup and verification. Reference: SOP §6."
Cybersecurity,Who should I contact first about cybersecurity or data security questions for sponsored research?,"Initial inquiries related to technology, data security, or cybersecurity should be directed to ORC, which coordinates with the Division of Information Technology (DiT) as needed. Reference: SOP §7."
Cybersecurity,When is a Data Management Plan (DMP) needed and who provides templates?,"If a DMP is required, ORC can provide a generic template or you may use agency-specific templates; for CUI projects, ORC provides a CUI compliance setup checklist. Reference: SOP §7.1."
Cybersecurity,How does the institution align cybersecurity requirements for sensitive sponsored projects?,"ORC and DiT work jointly to align protocols with NIST SP 800-171 and CMMC expectations; DiT provides secure storage environments for regulated data (e.g., CUI/FCI/export-controlled/proprietary). Reference: SOP §7."
Cybersecurity,When is a Technology Control Plan (TCP) required and who drafts it?,"A TCP is required when a sponsored project involves sensitive data and/or export-controlled information; the faculty researcher drafts it and submits it to ORC for review, using the TCP checklist/template. Reference: SOP §7.2."
Cybersecurity,Who must approve a TCP before it is implemented?,"TCPs must be reviewed/approved by the researcher(s), department chair/director, dean, an ORC designee, and applicable physical security and information security designees before implementation. Reference: SOP §7.2."
Cybersecurity,Where are TCP-related documents stored and who can access them?,"Documents related to TCPs are stored securely with role-based access (e.g., ORC shared drive); ORC sets periodic review/monitoring processes. Reference: SOP §7.3."
Cybersecurity,What is required for Department of Defense awards under CMMC?,"DoD contractors must certify CMMC compliance at award and annually; the Affirming Official (AO) is the senior-level representative authorized to affirm cybersecurity posture, with ORC consulting DiT on requirements. Reference: SOP §7.4 and §3 (AO; CMMC)."
Training,What annual training is required for cybersecurity and research security?,MSU annual cybersecurity awareness training is required for system access; ORC provides access to CITI Program training and encourages completion of Research Security modules. Reference: SOP §7.5.
FCOI,What is a Financial Conflict of Interest (FCOI) in sponsored programs?,"An FCOI exists when a researcher’s personal financial interests could directly and significantly affect the design, conduct, or reporting of sponsored research; it signals a need for transparency and oversight. Reference: SOP §8."
FCOI,How often are FCOI disclosures required and when must they be updated?,"Annual disclosures are required for all faculty researchers/key personnel, regardless of whether an interest exists; disclosures must be updated when new/changed financial interests arise. Reference: SOP §8.1."
FCOI,How often must FCOI training be renewed?,FCOI training is required before participating in sponsored research and must be renewed at least every four years (or more often if required by sponsors/policy or due to noncompliance). Reference: SOP §8.1.
FCOI,What happens if a faculty member fails to complete required FCOI disclosure or training?,"ORC monitors compliance and may restrict proposal submission, award acceptance, or research activity for individuals who fail to meet requirements. Reference: SOP §8.1."
FCOI,How can a researcher appeal a conflict-of-interest determination?,Appeals are initiated through written notification to the Vice President for Research and Economic Development; further escalation may proceed according to institutional governance. Reference: SOP §8.3.
Export Controls,What kinds of activities trigger an export control review?,International collaborations/foreign travel; participation of foreign nationals; shipping/hand-carrying/electronic transfer of materials/software/technical data outside the U.S.; traveling with devices containing sensitive info; contractual publication/access restrictions; and activities conducted outside the U.S. Reference: SOP §9.1.
Export Controls,Who performs the export control compliance assessment and what does it evaluate?,"The ORC Director evaluates whether items/info fall under EAR (CCL), ITAR (USML), and applicable OFAC sanctions; determinations are documented and retained. Reference: SOP §9.3."
Export Controls,What are the possible outcomes of an export control determination?,Outcomes include: not subject to export controls; subject with an applicable exemption/exclusion; subject requiring a license; or prohibited. Export-controlled projects require a TCP. Reference: SOP §9.4.
Export Controls,What are the rules for exporting controlled technical data to foreign nationals (deemed exports)?,Access to controlled technical data by foreign nationals is prohibited unless an export license is obtained or a valid exemption/exclusion is determined; ORC assesses and implements access controls. Reference: SOP §9.6.
